company_name,rating,reviews,company_type,locations
Linde India,3.9,(797),Chemicals,Vadodara +55 other locations
Rockwell Automation,3.7,(798),Industrial Automation,Pune +22 other locations
Forever Living Products,4.3,(797),Fitness & Wellness,Mumbai +96 other locations
RR kabel,4.1,(797),Electrical Equipment,Vadodara +115 other locations
Intex Technologies,3.6,(796),Consumer Electronics & Appliances,New Delhi +75 other locations
Investors Clinic,3.6,(794),Real Estate,Noida +34 other locations
Poly Medicure,3.5,(794),Medical Equipment,Faridabad +43 other locations
Prama Hikvision India,3.6,(792),Electronics Manufacturing,Mumbai +55 other locations
Eveready Industries,3.8,(790),Consumer Electronics & Appliances,Kolkata +111 other locations
Advik Hi Tech,3.7,(789),Auto Components,Pune +30 other locations
Principal Global Services,3.7,(789),Insurance,Pune +11 other locations
Hitachi,4.0,(788),Industrial Machinery,Bangalore / Bengaluru +85 other locations
JK Paper,3.8,(787),Pulp & Paper,Rayagada +52 other locations
Baxter International,3.8,(787),Healthcare,Bangalore / Bengaluru +32 other locations
Skill Lync,3.1,(786),EdTech,Chennai +17 other locations
Zidio Development,4.4,(787),IT Services & Consulting,Bangalore / Bengaluru +35 other locations
Edubridge Learning,3.9,(787),EdTech,Mumbai +63 other locations
THE LEELA PALACES HOTELS & RESORTS,4.0,(785),Hospitality,New Delhi +33 other locations
NTT,3.8,(785),IT Services & Consulting,Mumbai +42 other locations
Syneos Health,3.6,(785),Clinical Research,Gurgaon / Gurugram +16 other locations
K Raheja Corp,4.1,(784),Real Estate,Mumbai +18 other locations
Ksb Pumps,3.8,(784),Industrial Machinery,Pune +40 other locations
Qualitest,3.6,(784),IT Services & Consulting,Bangalore / Bengaluru +22 other locations
Cigniti Technologies,3.8,(782),IT Services & Consulting,Hyderabad / Secunderabad +9 other locations
IFFCO,4.1,(781),Agro Chemicals,New Delhi +113 other locations
Indo Autotech,3.9,(781),Auto Components,Faridabad +33 other locations
Zuventus Healthcare,3.8,(781),Pharma,Mumbai +100 other locations
PUMA,4.1,(780),Fashion & Textile,Bangalore / Bengaluru +100 other locations
Franklin Templeton Investments,3.9,(780),Financial Services,Hyderabad / Secunderabad +32 other locations
RenewBuy,3.3,(780),Internet,Gurgaon / Gurugram +107 other locations
Engineers India,4.2,(778),Engineering & Construction,New Delhi +84 other locations
Maveric Systems,3.4,(778),IT Services & Consulting,Chennai +11 other locations
Careernet,3.5,(778),Recruitment,Bangalore / Bengaluru +24 other locations
Prince Pipes & Fittings,4.2,(777),Building Material,Mumbai +82 other locations
Rashmi Group,3.5,(778),Iron & Steel,Kharagpur +31 other locations
Microtek International,3.7,(777),Consumer Electronics & Appliances,New Delhi +119 other locations
Aequs,3.4,(777),Defence & Aerospace,Belgaum +13 other locations
Praj Industries,4.0,(775),Biotechnology,Pune +44 other locations
Pratap Technocrats,3.7,(776),Telecom,Ahmedabad +120 other locations
Zydus Healthcare,3.9,(774),Pharma,Mumbai +106 other locations
Wipro Consumer Care & Lighting,3.7,(773),FMCG,Bangalore / Bengaluru +119 other locations
Rallis India,4.1,(773),Agro Chemicals,Ankleshwar +115 other locations
AISIN,4.1,(772),Auto Components,Rohtak +27 other locations
AISIN,4.1,(772),Auto Components,Rohtak +27 other locations
Five-Star Business Finance,4.1,(770),NBFC,Chennai +244 other locations
Cohance Lifesciences,3.8,(910),Pharma,Hyderabad / Secunderabad +22 other locations
First Advantage,3.5,(768),Recruitment,Bangalore / Bengaluru +12 other locations
Chennai Radha Engineering Works,3.9,(768),Engineering & Construction,Chennai +58 other locations
Dunzo,3.5,(768),Internet,Bangalore / Bengaluru +20 other locations
BDO,3.2,(768),Accounting & Auditing,Mumbai +33 other locations
Better.com,3.0,(766),Financial Services,Gurgaon / Gurugram +9 other locations
Jai Balaji Group,3.2,(766),Iron & Steel,Durgapur +41 other locations
Toyo Engineering,4.0,(766),Engineering & Construction,Mumbai +44 other locations
Action Construction Equipment,3.7,(763),Industrial Machinery,Faridabad +59 other locations
Denave,3.5,(764),Marketing & Advertising,Noida +69 other locations
Progressive Infotech,3.3,(763),IT Services & Consulting,Noida +67 other locations
Credence Resource Management,3.1,(763),BPO,Pune +9 other locations
Lea Associates South Asia,4.2,(762),Engineering & Construction,New Delhi +139 other locations
Fleetguard Filters Private Limited,4.3,(762),Auto Components,Pune +85 other locations
Wipro Infrastructure Engineering,3.7,(762),Industrial Machinery,Bangalore / Bengaluru +38 other locations
Creambell,3.9,(762),Food Processing,New Delhi +105 other locations
Quatrro Business Support Services,3.3,(762),Gurgaon / Gurugram +14 other locations,Gurgaon / Gurugram +14 other locations
Ask Automotive,4.2,(762),Auto Components,Gurgaon / Gurugram +29 other locations
Somany Ceramics,4.1,(760),Building Material,New Delhi +82 other locations
Novac Technology Solutions,3.6,(760),Software Product,Chennai +25 other locations
Simplilearn,3.2,(760),EdTech,Bangalore / Bengaluru +9 other locations
JioStar,3.5,(759),Media & Entertainment,Mumbai +42 other locations
Orion Edutech,3.1,(758),EdTech,Kolkata +114 other locations
Travel Food Services Ltd,4.0,(758),Hospitality,Mumbai +35 other locations
Creative Synergies Group,4.0,(757),IT Services & Consulting,Bangalore / Bengaluru +9 other locations
Fidelity International,3.5,(757),Financial Services,Gurgaon / Gurugram +14 other locations
Reliance Smart,4.1,(756),Retail,Hyderabad / Secunderabad +249 other locations
Radical Minds,2.9,(755),BPO,Gurgaon / Gurugram +13 other locations
Hitachi Digital Services,3.5,(755),IT Services & Consulting,Hyderabad / Secunderabad +15 other locations
Amber Enterprises India,3.9,(754),Electronics Manufacturing,Gurgaon / Gurugram +44 other locations
1 India Family Mart,4.6,(754),Retail,New Delhi +99 other locations
BCD Travel,4.3,(754),Travel & Tourism,Bangalore / Bengaluru +11 other locations
BNP Paribas India Solutions,3.6,(755),IT Services & Consulting,Mumbai +9 other locations
Samsung E&A,3.9,(753),Engineering & Construction,Noida +47 other locations
People Tech Group,2.4,(752),IT Services & Consulting,Hyderabad / Secunderabad +12 other locations
Allied Digital Services,3.1,(752),IT Services & Consulting,Mumbai +55 other locations
HSBC Software Development,4.1,(752),Pune +8 other locations,Pune +8 other locations
Hilti,3.4,(754),Industrial Machinery,Gurgaon / Gurugram +47 other locations
CADD Centre Training Services,3.9,(752),Education & Training,Chennai +134 other locations
Vastu Housing Finance,4.2,(754),NBFC,Mumbai +168 other locations
SLK Global Services,3.9,(751),BPO,Bangalore / Bengaluru +9 other locations
Forvia Hella,3.9,(751),Auto Components,Pune +32 other locations
Assystem,3.3,(751),Engineering & Construction,Chennai +69 other locations
McDermott International,4.2,(751),Engineering & Construction,Chennai +33 other locations
Central Industrial Security Force,4.3,(751),Law Enforcement & Security,New Delhi +89 other locations
Reliance BP Mobility,3.6,(751),Oil & Gas,Mumbai +102 other locations
Axtria,2.8,(748),Software Product,Gurgaon / Gurugram +8 other locations
Dineshchandra R. Agrawal Infracon,4.0,(748),Engineering & Construction,Ahmedabad +78 other locations
Consero Global Solutions,3.5,(750),Financial Services,Bangalore / Bengaluru +10 other locations
Amadeus,3.7,(748),Software Product,Bangalore / Bengaluru +14 other locations
Times Internet,3.4,(747),Internet,Noida +24 other locations
Brane Enterprises,2.1,(747),Software Product,Hyderabad / Secunderabad +12 other locations
Ramkrishna Forgings,3.4,(748),Auto Components,Jamshedpur +28 other locations
Mswipe Technologies,3.3,(745),FinTech,Mumbai +99 other locations
Alivus Life Sciences,3.8,(744),Pharma,Ankleshwar +22 other locations
Bunge India,4.0,(744),Food Processing,Mohali +70 other locations
Bses Rajdhani Power,3.8,(743),Power,New Delhi +22 other locations
Vaaman Engineers,3.8,(743),Engineering & Construction,Jharsuguda +45 other locations
Finolex Cables,3.7,(744),Electrical Equipment,Pune +76 other locations
Sharda Motor Industries,3.8,(743),Auto Components,Chennai +27 other locations
Universal Sompo General Insurance,4.3,(744),Insurance,Mumbai +118 other locations
Hapag-Lloyd,3.8,(742),Ports & Shipping,Chennai +16 other locations
Galfar,3.9,(742),Engineering & Construction,Muscat +41 other locations
ESL Steel,3.7,(742),Iron & Steel,Bokaro +24 other locations
National Informatics Centre,3.9,(741),Government,New Delhi +77 other locations
India Cements,3.8,(740),Building Material,Chennai +91 other locations
Exicom,4.0,(740),Semiconductors,Gurgaon / Gurugram +32 other locations
Wabtec,3.9,(740),Auto Components,Bangalore / Bengaluru +27 other locations
Bitwise Solutions,3.7,(739),IT Services & Consulting,Pune +9 other locations
JM Financial,3.8,(739),Financial Services,Mumbai +68 other locations
Veradigm,3.8,(739),Software Product,Pune +9 other locations
Wapcos,3.3,(739),Engineering & Construction,New Delhi +145 other locations
OLX,3.8,(738),Internet,Gurgaon / Gurugram +56 other locations
VA Tech Wabag,3.8,(738),Waste Management,Chennai +53 other locations
CMS Computers Limited (INDIA),3.6,(737),IT Services & Consulting,New Delhi +76 other locations
Vertex Customer Solutions,3.6,(736),IT Services & Consulting,Chennai +33 other locations
Integreon,3.2,(736),BPO,Mumbai +12 other locations
Indusind Marketing & Financial Services,3.7,(736),Financial Services,Chennai +269 other locations
Mott MacDonald,4.0,(736),Management Consulting,Mumbai +49 other locations
Zee Entertainment Enterprises,3.4,(735),Media & Entertainment,Mumbai +35 other locations
EMERSON PROCESS MANAGEMENT,4.1,(734),Industrial Automation,Pune +31 other locations
Primus Global Technologies,3.7,(733),IT Services & Consulting,Bangalore / Bengaluru +28 other locations
Isuzu Motors,4.1,(732),Automobile,Chennai +38 other locations
India Japan Lighting,4.1,(731),Auto Components,Chennai +29 other locations
ffreedom app,3.5,(731),Internet,Bangalore / Bengaluru +26 other locations
Ugro Capital,3.7,(731),NBFC,Mumbai +160 other locations
Steel Authority Of India,4.0,(730),Iron & Steel,Rourkela +49 other locations
Livguard,3.9,(730),Electronics Manufacturing,Gurgaon / Gurugram +86 other locations
Religare,3.7,(729),Financial Services,New Delhi +97 other locations
GirnarSoft,3.6,(729),IT Services & Consulting,Gurgaon / Gurugram +53 other locations
Deepak Nitrite,4.0,(729),Chemicals,Vadodara +20 other locations
Sun Life Financial,3.8,(729),Financial Services,Gurgaon / Gurugram +12 other locations
UnitedLex,2.7,(728),Analytics & KPO,New Delhi +12 other locations
TO THE NEW,3.6,(728),IT Services & Consulting,Noida +19 other locations
ManipalCigna Health Insurance,3.7,(729),Insurance,Mumbai +133 other locations
LifeCell International,3.3,(726),Biotechnology,Chennai +75 other locations
Patel Infrastructure Limited,4.2,(726),Engineering & Construction,Vadodara +58 other locations
Rackspace,3.7,(725),IT Services & Consulting,Gurgaon / Gurugram +15 other locations
Greenply,3.8,(725),Building Material,Kolkata +94 other locations
Lavender Technology,4.9,(724),IT Services & Consulting,Bangalore / Bengaluru +8 other locations
Smollan Group,3.9,(724),Marketing & Advertising,Mumbai +140 other locations
DuPont,4.2,(721),Waste Management,Hyderabad / Secunderabad +47 other locations
Boeing,3.8,(719),Aviation,Bangalore / Bengaluru +12 other locations
Adidas,3.9,(718),Fashion & Textile,Gurgaon / Gurugram +69 other locations
V-Trans,3.8,(718),Logistics,Mumbai +93 other locations
ASG Eye Hospital,3.5,(715),Healthcare,Jaipur +75 other locations
Celebal Technologies,3.0,(715),IT Services & Consulting,Jaipur +23 other locations
Neuland Laboratories,4.0,(715),Pharma,Hyderabad / Secunderabad +7 other locations
Care Hospital,4.0,(714),Healthcare,Hyderabad / Secunderabad +41 other locations
Biba Apparels,3.5,(713),Fashion & Textile,New Delhi +97 other locations
Lenovo,4.0,(713),Consumer Electronics & Appliances,Bangalore / Bengaluru +83 other locations
Expleo Solutions,3.5,(712),IT Services & Consulting,Chennai +15 other locations
Protiviti,3.1,(711),Management Consulting,Gurgaon / Gurugram +28 other locations
XcelServ Solutions,4.4,(709),IT Services & Consulting,New Delhi +33 other locations
Molex,3.9,(709),Electronics Manufacturing,Bangalore / Bengaluru +17 other locations
RITES,3.9,(709),Engineering & Construction,Gurgaon / Gurugram +86 other locations
McKinsey & Company,3.8,(709),Management Consulting,Gurgaon / Gurugram +25 other locations
Ameriprise Financial,3.7,(711),Financial Services,Gurgaon / Gurugram +11 other locations
NecLife,3.6,(709),Pharma,Chandigarh +30 other locations
TDK India Private Limited,3.9,(708),Nashik +25 other locations,Nashik +25 other locations
Padget Electronics,3.9,(708),Electronics Manufacturing,Noida +15 other locations
Stellantis,3.4,(707),Automobile,Chennai +16 other locations
Sykes Business Services Of India,3.4,(706),BPO,Hyderabad / Secunderabad +17 other locations
Mitsubishi Electric India,4.2,(705),Electronics Manufacturing,Pune +51 other locations
LG Soft India,2.9,(705),IT Services & Consulting,Bangalore / Bengaluru +15 other locations
Google Operations Center,3.6,(706),BPO,Hyderabad / Secunderabad +16 other locations
BSH Home Appliances Group,3.9,(704),Consumer Electronics & Appliances,Bangalore / Bengaluru +58 other locations
uFaber,2.2,(704),Education & Training,Mumbai +24 other locations
Ag Industries,4.0,(704),Auto Components,Gurgaon / Gurugram +32 other locations
BDO India LLP,3.2,(703),Accounting & Auditing,Mumbai +35 other locations
Bikanervala,3.9,(703),FMCG,New Delhi +69 other locations
TCNS Clothing Company,4.1,(702),Fashion & Textile,New Delhi +108 other locations
AI Airport Services,3.3,(702),Aviation,Mumbai +61 other locations
Samunnati,4.5,(701),NBFC,Chennai +61 other locations
Sterlite Power,4.0,(702),Power,New Delhi +83 other locations
Writer Information Management Services,3.2,(701),BPO,Mumbai +67 other locations
Nvidia,3.5,(699),Hardware & Networking,Pune +19 other locations
Medreich,3.9,(699),Pharma,Bangalore / Bengaluru +14 other locations
Rentokil Pest Control,3.6,(698),Facility Management Services,Mumbai +109 other locations
Office Beacon,4.6,(698),BPO,Vadodara +21 other locations
B. G. Shirke Construction Technology,4.2,(698),Engineering & Construction,Pune +26 other locations
LEAP India Limited,4.6,(698),Packaging,Mumbai +47 other locations
Turtlemint,3.6,(698),Internet,Mumbai +114 other locations
Transrail Lighting,4.0,(698),Engineering & Construction,Mumbai +95 other locations
Mindsprint,3.6,(696),IT Services & Consulting,Chennai +10 other locations
Delta Electronics,4.0,(694),Electronics Manufacturing,Bangalore / Bengaluru +43 other locations
Volkswagen Group Technology Solution,3.9,(694),IT Services & Consulting,Pune +14 other locations
Redcliffe Labs,3.9,(694),Healthcare,New Delhi +83 other locations
Evision Technoserve,4.7,(694),Pune +44 other locations,Pune +44 other locations
The Akshaya Patra Foundation,4.3,(694),Non-Profit,Bangalore / Bengaluru +66 other locations
Embibe,3.4,(693),EdTech,Bangalore / Bengaluru +19 other locations
Kurlon,4.3,(693),Furniture & Furnishing,Bangalore / Bengaluru +88 other locations
Raychem RPG,3.7,(693),Electrical Equipment,Mumbai +32 other locations
Tavant Technologies,3.9,(694),IT Services & Consulting,Bangalore / Bengaluru +13 other locations
HSBC Bank,3.9,(692),Banking,Bangalore / Bengaluru +38 other locations
Toppr,3.4,(691),EdTech,Mumbai +42 other locations
Mynd Solutions Private,3.6,(691),BPO,Gurgaon / Gurugram +32 other locations
Ascendion,3.4,(691),IT Services & Consulting,Bangalore / Bengaluru +16 other locations
Eugia Pharma Specialities,4.0,(690),Pharma,Hyderabad / Secunderabad +18 other locations
Goodyear,3.6,(689),Auto Components,Aurangabad +65 other locations
Electrosteel Casting,3.7,(689),Building Material,Kolkata +28 other locations
Koch Business Solutions,3.2,(689),IT Services & Consulting,Bangalore / Bengaluru +11 other locations
Bristlecone,3.6,(689),IT Services & Consulting,Bangalore / Bengaluru +15 other locations
Flash Electronics,3.6,(688),Electronics Manufacturing,Pune +23 other locations
Ramky Infrastructure,4.2,(687),Engineering & Construction,Hyderabad / Secunderabad +51 other locations
Gartner,3.8,(687),Management Consulting,Gurgaon / Gurugram +18 other locations
Lovely Professional University,3.4,(687),Education & Training,Jalandhar +29 other locations
Transsion,3.9,(687),Consumer Electronics & Appliances,Noida +62 other locations
Micro Turners,3.8,(686),Auto Components,Baddi +42 other locations
Amrit Cement,3.9,(686),Building Material,Guwahati +49 other locations
Bahwan CyberTek,3.4,(686),IT Services & Consulting,Chennai +21 other locations
Visteon,3.2,(687),Auto Components,Chennai +21 other locations
Titan Eye Plus,4.1,(686),Other,Kolkata +131 other locations
Aurigo Software Technologies,4.6,(685),Software Product,Bangalore / Bengaluru +5 other locations
Genus Power Infrastructures,3.9,(685),Electronics Manufacturing,Jaipur +83 other locations
Home First Finance Company India,3.5,(685),NBFC,Mumbai +102 other locations
Thriveni Earthmovers,3.9,(685),Metals & Mining,Jamshedpur +45 other locations
Csc E Governance Services,3.8,(685),Government,New Delhi +201 other locations
Wuerth,3.5,(684),Industrial Machinery,Pune +65 other locations
Apple,4.3,(684),Consumer Electronics & Appliances,Bangalore / Bengaluru +106 other locations
HRH Next Services,2.9,(685),BPO,Hyderabad / Secunderabad +23 other locations
Bisk Farm,4.0,(683),Food Processing,Kolkata +134 other locations
Razorpay,3.4,(683),FinTech,Bangalore / Bengaluru +26 other locations
Caparo Engineering India,4.0,(683),Auto Components,Chennai +34 other locations
Vindhya Telelinks,4.0,(683),Hardware & Networking,Rewa +93 other locations
Neeyamo Enterprise Solutions,3.5,(682),Pune +10 other locations,Pune +10 other locations
URC Construction,3.7,(683),Engineering & Construction,Chennai +49 other locations
Asb International,3.6,(683),Industrial Machinery,Mumbai +23 other locations
North East Small Finance Bank,3.6,(682),Banking,Guwahati +93 other locations
NSB Bpo Solutions,2.9,(681),BPO,Noida +84 other locations
Bayer Crop Science Vegetable Seeds,4.2,(681),Bangalore / Bengaluru +136 other locations,Bangalore / Bengaluru +136 other locations
Moglix,3.3,(681),Internet,Noida +39 other locations
Healthians,4.2,(680),Internet,Gurgaon / Gurugram +48 other locations
Bharat Serums and Vaccines,4.0,(680),Pharma,Mumbai +65 other locations
Eastman Auto and Power Limited,3.9,(679),Electronics Manufacturing,Gurgaon / Gurugram +69 other locations
Orient Cement,4.4,(679),Building Material,Hyderabad / Secunderabad +70 other locations
Testbook.com,3.4,(678),EdTech,Noida +31 other locations
Infor Global Solution,3.9,(677),Software Product,Hyderabad / Secunderabad +9 other locations
TTK Prestige,3.8,(676),Consumer Electronics & Appliances,Bangalore / Bengaluru +81 other locations
Writer Corporation,3.4,(677),Logistics,Mumbai +83 other locations
Future Supply Chain Solutions,4.3,(676),Logistics,Nagpur +70 other locations
Diebold Nixdorf,3.6,(675),Software Product,Hyderabad / Secunderabad +44 other locations
Snapdeal,3.8,(675),Internet,Gurgaon / Gurugram +31 other locations
IHG,3.6,(674),Hospitality,New Delhi +46 other locations
Patel Engineering,4.1,(674),Engineering & Construction,Mumbai +67 other locations
Doosan Power Systems,4.3,(674),Power,Gurgaon / Gurugram +31 other locations
Livpure,3.8,(673),Consumer Electronics & Appliances,Gurgaon / Gurugram +81 other locations
ExportersIndia,4.9,(673),Internet,New Delhi +2 other locations
Central Bank of India,3.9,(673),Banking,Mumbai +196 other locations
Cohesity,3.8,(674),Software Product,Pune +47 other locations
Ness Digital Engineering,3.3,(674),IT Services & Consulting,Bangalore / Bengaluru +11 other locations
ChannelPlay,3.8,(672),Marketing & Advertising,Gurgaon / Gurugram +93 other locations
Government of India,4.2,(672),Government,New Delhi +159 other locations
Radico Khaitan,4.1,(673),Beverage,Rampur +76 other locations
Cotiviti,3.6,(674),Analytics & KPO,Hyderabad / Secunderabad +9 other locations
Medtronic,3.9,(672),Medical Equipment,Hyderabad / Secunderabad +45 other locations
Redington,4.0,(672),Hardware & Networking,Chennai +48 other locations
PPG Asian Paints,3.9,(673),Chemicals,Mumbai +56 other locations
Cotiviti,3.6,(674),Analytics & KPO,Hyderabad / Secunderabad +9 other locations
Keventer,3.8,(671),FMCG,Kolkata +64 other locations
PrimEra Medical Technologies,3.6,(672),IT Services & Consulting,Hyderabad / Secunderabad +14 other locations
R.V.R. PROJECTS,3.9,(671),Engineering & Construction,Hyderabad / Secunderabad +66 other locations
NextComm Corporation,4.8,(669),Software Product,Bangalore / Bengaluru +8 other locations
Wolters Kluwer,3.8,(669),Software Product,Pune +16 other locations
Quess IT Staffing Solutions,3.1,(669),Bangalore / Bengaluru +55 other locations,Bangalore / Bengaluru +55 other locations
CtrlS,3.6,(669),IT Services & Consulting,Hyderabad / Secunderabad +17 other locations
Nephroplus,3.8,(668),Healthcare,Hyderabad / Secunderabad +110 other locations
Solv,3.5,(668),Internet,Bangalore / Bengaluru +140 other locations
Y-Axis Overseas Careers,3.8,(667),Other,Hyderabad / Secunderabad +17 other locations
Tredence,3.4,(668),IT Services & Consulting,Bangalore / Bengaluru +9 other locations
DAV Public School,4.0,(667),Education & Training,New Delhi +152 other locations
YOKOGAWA,3.8,(666),Industrial Automation,Bangalore / Bengaluru +23 other locations
VRL Logistics,3.7,(666),Logistics,Bangalore / Bengaluru +117 other locations
BASF,4.2,(666),Chemicals,Mumbai +93 other locations
L&T Power,3.9,(665),Power,Vadodara +97 other locations
Nomura Holdings,3.7,(664),Investment Banking / Venture Capital / Private Equity,Mumbai +11 other locations
Surya Roshni,4.1,(664),Building Material,New Delhi +73 other locations
Blue Yonder,3.6,(664),Software Product,Bangalore / Bengaluru +13 other locations
Emami Agrotech,3.8,(665),Food Processing,Kolkata +65 other locations
Kutumbh Care,4.0,(663),Recruitment,Noida +162 other locations
Quislex Legal Services,4.0,(663),Legal,Hyderabad / Secunderabad +11 other locations
Rane NSK Steering Systems,4.0,(663),Auto Components,Chennai +26 other locations
Vizag Steel,4.0,(663),Iron & Steel,Visakhapatnam +29 other locations
Autoliv,4.0,(663),Auto Components,Bangalore / Bengaluru +22 other locations
SG Analytics,2.6,(664),Analytics & KPO,Pune +12 other locations
Housing.com,3.5,(662),Internet,Gurgaon / Gurugram +43 other locations
Lionbridge Technologies,3.6,(662),Content Development,Mumbai +14 other locations
EPL Limited,3.8,(661),Packaging,Mumbai +35 other locations
Lohia Corp,4.0,(661),Industrial Machinery,Kanpur +21 other locations
Dodla Dairy,4.2,(661),Food Processing,Hyderabad / Secunderabad +73 other locations
Dhanuka Agritech,3.6,(660),Agro Chemicals,Gurgaon / Gurugram +108 other locations
Bridgestone - Global Capability Center,4.0,(660),Auto Components,Pune +61 other locations
Triveni Engineering & Industries,4.1,(659),Food Processing,Noida +58 other locations
Osource Global,3.5,(659),BPO,Mumbai +25 other locations
PeopleStrong,3.4,(658),Recruitment,Gurgaon / Gurugram +20 other locations
R.S. Infraprojects,4.0,(658),Engineering & Construction,Noida +95 other locations
Orient Technologies,3.6,(658),IT Services & Consulting,Mumbai +49 other locations
JSW Energy,4.1,(658),Power,Mumbai +73 other locations
MPS Limited,3.5,(658),Content Development,Dehradun +23 other locations
Trianz,3.4,(657),IT Services & Consulting,Hyderabad / Secunderabad +8 other locations
Technotask Business Solutions,3.6,(670),BPO,Bhopal +20 other locations
Cogoport,3.2,(657),Internet,Mumbai +13 other locations
Videocon d2h,3.9,(657),Internet,New Delhi +117 other locations
Leverage Edu,4.1,(656),EdTech,Noida +22 other locations
Qatar Airways,3.5,(658),Aviation,Ahmedabad +28 other locations
Sandvik Asia,4.0,(655),Industrial Machinery,Pune +37 other locations
Jubilant Ingrevia,3.8,(655),Chemicals,Bharuch +33 other locations
Mahindra Integrated Business Solutions,3.4,(653),BPO,Mumbai +83 other locations
TransUnion,3.6,(652),Financial Services,Chennai +9 other locations
ReSource Pro,3.8,(651),BPO,Bangalore / Bengaluru +9 other locations
Ingram Micro,3.6,(651),IT Services & Consulting,Mumbai +47 other locations
Omaxe,4.2,(650),Real Estate,New Delhi +24 other locations
TIAA Global Business Services,3.7,(650),Financial Services,Pune +10 other locations
Corteva Agriscience,4.2,(648),Agro Chemicals,Hyderabad / Secunderabad +104 other locations
Saint Gobain Glass,3.8,(648),Building Material,Chennai +56 other locations
Optimum Infosystem,3.2,(648),IT Services & Consulting,Chennai +16 other locations
Progressive Infovision,3.8,(647),Recruitment,New Delhi +77 other locations
Capco Technologies,3.7,(647),IT Services & Consulting,Bangalore / Bengaluru +17 other locations
Epicenter Technologies,3.3,(646),BPO,Mumbai +8 other locations
PCBL Chemical Limited,4.0,(649),Petrochemicals,Vadodara +24 other locations
SMC Global Securities,3.4,(645),Financial Services,New Delhi +88 other locations
Alshaya Group,3.8,(645),Retail,Bangalore / Bengaluru +29 other locations
Vasudha Pharma Chem,4.0,(644),Pharma,Visakhapatnam +9 other locations
Marlabs,3.5,(643),IT Services & Consulting,Bangalore / Bengaluru +12 other locations
BankBazaar,3.3,(643),FinTech,Chennai +15 other locations
Tejas Networks,3.7,(643),Hardware & Networking,Bangalore / Bengaluru +35 other locations
Quality Austria Central Asia,3.5,(643),Other,New Delhi +74 other locations
Neurealm,3.4,(642),IT Services & Consulting,Chennai +14 other locations
Indorama,4.0,(642),Agro Chemicals,Haldia +45 other locations
Licious,3.6,(642),Internet,Bangalore / Bengaluru +38 other locations
DeHaat,3.6,(642),Internet,Gurgaon / Gurugram +116 other locations
Sintex BAPL,3.6,(642),Petrochemicals,Chennai +70 other locations
Welspun World,3.6,(642),Building Material,Anjar +49 other locations
Kissht Finance,3.9,(641),FinTech,Mumbai +85 other locations
Data Entry,4.2,(641),BPO,New Delhi +112 other locations
TCI Express,3.9,(640),Logistics,Gurgaon / Gurugram +80 other locations
Mindarika,4.0,(640),Auto Components,Gurgaon / Gurugram +26 other locations
HCL Healthcare,4.6,(641),Healthcare,Noida +40 other locations
Magic Edtech,3.7,(639),IT Services & Consulting,Noida +11 other locations
Fiat India Automobiles,3.6,(638),Automobile,Pune +23 other locations
Wissen Infotech,3.5,(638),IT Services & Consulting,Bangalore / Bengaluru +15 other locations
Tata Power Delhi Distribution,3.8,(637),Power,New Delhi +32 other locations
Yatra,3.2,(637),Travel & Tourism,Gurgaon / Gurugram +20 other locations
Centaur Pharmaceuticals,3.5,(638),Pharma,Pune +66 other locations
Forbes Marshall,3.9,(636),Industrial Machinery,Pune +24 other locations
Pennar Industries,3.4,(636),Engineering & Construction,Hyderabad / Secunderabad +30 other locations
Petpooja,3.8,(637),Software Product,Ahmedabad +64 other locations
Nihilent,3.2,(635),IT Services & Consulting,Pune +8 other locations
Times Group,3.7,(634),Printing & Publishing,Mumbai +48 other locations
JoulestoWatts Business Solutions,3.5,(635),IT Services & Consulting,Bangalore / Bengaluru +16 other locations
My Home Industries,4.0,(634),Building Material,Hyderabad / Secunderabad +69 other locations
Krsnaa Diagnostics,3.7,(634),Healthcare,Pune +96 other locations
The Lalit,3.5,(633),Hospitality,New Delhi +31 other locations
Ferrero,3.9,(633),Food Processing,Pune +102 other locations
Magic Bus India Foundation,3.8,(632),Non-Profit,Mumbai +75 other locations
Elite Elevators,4.1,(632),Industrial Machinery,Chennai +41 other locations
Encore Capital Group,3.9,(631),IT Services & Consulting,Gurgaon / Gurugram +4 other locations
Mount Litera Zee School,3.6,(630),Education & Training,Bangalore / Bengaluru +124 other locations
Shivalik Small Finance Bank,3.8,(630),Banking,Noida +39 other locations
CSC,3.6,(630),Financial Services,Bangalore / Bengaluru +22 other locations
Talentpro,3.8,(630),Recruitment,Chennai +126 other locations
CJ Darcl Logistics Limited,4.0,(630),Logistics,Gurgaon / Gurugram +82 other locations
NoBrokerHood,2.8,(630),Software Product,Bangalore / Bengaluru +32 other locations
Inspirisys Solution,3.7,(630),IT Services & Consulting,Chennai +54 other locations
ICA Edu Skills,3.9,(630),Education & Training,Kolkata +120 other locations
Ramboll,3.9,(629),Engineering & Construction,Gurgaon / Gurugram +31 other locations
Electrotherm,4.2,(629),Iron & Steel,Ahmedabad +40 other locations
Karvy Stock Broking,3.6,(628),Hyderabad / Secunderabad +106 other locations,Hyderabad / Secunderabad +106 other locations
RealPage,3.6,(628),Software Product,Hyderabad / Secunderabad +9 other locations
Narayana e-Techno School,3.6,(630),Education & Training,Bangalore / Bengaluru +101 other locations
NICE,3.5,(628),Software Product,Pune +15 other locations
Welspun Corp,4.0,(628),Iron & Steel,Anjar +29 other locations
