company_name,rating,reviews,company_type,locations
Axis Max Life Insurance,4.0,(6.9k),Insurance,New Delhi +494 other locations
Megha Engineering & Infrastructures,3.9,(6.8k),Engineering & Construction,Hyderabad / Secunderabad +405 other locations
Tata Projects,4.2,(6.7k),Engineering & Construction,Mumbai +285 other locations
Coforge,3.2,(6.5k),IT Services & Consulting,Noida +104 other locations
FIS,3.8,(6.5k),FinTech,Pune +61 other locations
L&T Technology Services,3.1,(6.4k),IT Services & Consulting,Bangalore / Bengaluru +93 other locations
Bajaj Life Insurance,3.9,(6.4k),Insurance,Pune +607 other locations
Cholamandalam Investment & Finance,3.8,(6.4k),Financial Services,Chennai +840 other locations
IIFL Finance,4.0,(6.3k),NBFC,Mumbai +802 other locations
Oracle,3.5,(6.2k),Software Product,Bangalore / Bengaluru +56 other locations
Indian Army,4.7,(6.2k),Defence & Aerospace,New Delhi +365 other locations
Omega Healthcare,3.8,(6.2k),BPO,Chennai +69 other locations
Muthoot Finance,3.7,(6.2k),NBFC,Bangalore / Bengaluru +783 other locations
JLL,4.1,(6.2k),Real Estate,Gurgaon / Gurugram +85 other locations
eClerx,3.1,(6.1k),IT Services & Consulting,Pune +32 other locations
HCL Group,3.5,(6.1k),IT Services & Consulting,Chennai +97 other locations
Piramal Finance,4.2,(6k),NBFC,Mumbai +423 other locations
Virtusa Consulting Services,3.7,(6k),IT Services & Consulting,Hyderabad / Secunderabad +55 other locations
DMart,3.9,(5.9k),Retail,Mumbai +247 other locations
HSBC Group,3.9,(5.9k),Financial Services,Bangalore / Bengaluru +63 other locations
Indiamart Intermesh,3.5,(5.8k),Internet,Noida +173 other locations
Udaan,3.9,(5.8k),Internet,Bangalore / Bengaluru +368 other locations
SMFG India Credit,3.9,(5.8k),NBFC,Mumbai +594 other locations
Aurobindo Pharma,4.0,(5.7k),Pharma,Hyderabad / Secunderabad +115 other locations
Access Healthcare,3.7,(5.7k),BPO,Chennai +64 other locations
Siemens,3.9,(5.7k),Industrial Automation,Bangalore / Bengaluru +152 other locations
BigBasket,3.9,(5.7k),Internet,Bangalore / Bengaluru +138 other locations
Manappuram Finance,3.9,(5.7k),NBFC,Bangalore / Bengaluru +649 other locations
Firstsource Solutions,3.5,(5.6k),BPO,Bangalore / Bengaluru +74 other locations
Shapoorji Pallonji Group,4.1,(5.6k),Engineering & Construction,Mumbai +189 other locations
Tata Capital,4.0,(5.6k),NBFC,Mumbai +438 other locations
GlobalLogic,3.5,(5.6k),IT Services & Consulting,Hyderabad / Secunderabad +60 other locations
ICICI Lombard General Insurance Company,3.5,(5.6k),Insurance,Mumbai +312 other locations
PolicyBazaar,3.7,(5.6k),Internet,Gurgaon / Gurugram +149 other locations
Standard Chartered,3.6,(5.6k),Banking,Chennai +68 other locations
Mahindra Finance,3.9,(5.6k),NBFC,Mumbai +730 other locations
Apollo Hospitals,4.1,(5.5k),Healthcare,Chennai +229 other locations
Bosch Global Software Technologies,3.7,(5.5k),IT Services & Consulting,Bangalore / Bengaluru +47 other locations
UST,3.7,(5.5k),IT Services & Consulting,Bangalore / Bengaluru +50 other locations
Ashok Leyland,4.0,(5.5k),Automobile,Chennai +259 other locations
Swiggy,3.7,(5.4k),Internet,Bangalore / Bengaluru +230 other locations
Citicorp,3.7,(5.4k),Financial Services,Pune +68 other locations
Hero MotoCorp,4.1,(5.3k),Automobile,Gurgaon / Gurugram +366 other locations
Cyient,3.6,(5.3k),IT Services & Consulting,Hyderabad / Secunderabad +48 other locations
CGI Group,4.0,(5.3k),IT Services & Consulting,Bangalore / Bengaluru +43 other locations
SBI Cards & Payment Services,3.6,(5.2k),Financial Services,Gurgaon / Gurugram +436 other locations
Kalpataru Projects International,4.1,(5.1k),Engineering & Construction,Mumbai +321 other locations
JustDial,3.5,(5.1k),Internet,Noida +229 other locations
BNY,3.6,(5.1k),Financial Services,Pune +25 other locations
IQVIA,3.7,(5.1k),Clinical Research,Bangalore / Bengaluru +65 other locations
Nagarjuna Construction Company,4.0,(5k),Engineering & Construction,Hyderabad / Secunderabad +295 other locations
NTT Data,3.8,(5k),IT Services & Consulting,Bangalore / Bengaluru +81 other locations
SBI Life Insurance Company,3.7,(5k),Insurance,Mumbai +655 other locations
CBRE,4.1,(5k),Real Estate,Hyderabad / Secunderabad +91 other locations
TVS Motor,3.9,(5k),Automobile,Hosur +349 other locations
Schneider Electric,4.2,(5k),Industrial Automation,Bangalore / Bengaluru +119 other locations
Persistent Systems,3.6,(4.9k),IT Services & Consulting,Pune +41 other locations
State Bank of India,3.8,(4.9k),Banking,Mumbai +618 other locations
Atos,3.8,(4.9k),IT Services & Consulting,Pune +49 other locations
vivo,4.1,(4.9k),Consumer Electronics & Appliances,Noida +415 other locations
Ecom Express,4.0,(4.8k),Logistics,Gurgaon / Gurugram +775 other locations
Eviden,3.6,(4.8k),IT Services & Consulting,Pune +39 other locations
KEC International,4.0,(4.8k),Engineering & Construction,Mumbai +313 other locations
Amdocs,3.6,(4.7k),Software Product,Pune +23 other locations
JBM Group,3.9,(4.7k),Auto Components,Gurgaon / Gurugram +117 other locations
Nagarro,3.9,(4.7k),IT Services & Consulting,Gurgaon / Gurugram +49 other locations
Varun Beverages,4.0,(4.7k),Beverage,New Delhi +379 other locations
ITC Infotech,3.7,(4.7k),IT Services & Consulting,Bangalore / Bengaluru +67 other locations
Bosch,4.1,(4.6k),Auto Components,Bangalore / Bengaluru +130 other locations
Home Credit Finance,4.0,(4.6k),NBFC,Gurgaon / Gurugram +136 other locations
Randstad,3.7,(4.6k),Recruitment,Hyderabad / Secunderabad +352 other locations
EY Global Delivery Services ( EY GDS),3.5,(4.5k),IT Services & Consulting,Bangalore / Bengaluru +56 other locations
Hewlett Packard Enterprise,4.1,(4.5k),IT Services & Consulting,Bangalore / Bengaluru +103 other locations
Utkarsh Small Finance Bank,3.6,(4.5k),Banking,Varanasi +407 other locations
Mahindra Logistics,3.7,(4.5k),Logistics,Mumbai +233 other locations
Aditya Birla Fashion and Retail,4.1,(4.5k),Fashion & Textile,Bangalore / Bengaluru +291 other locations
L&T Finance,3.9,(4.5k),NBFC,Mumbai +635 other locations
OPPO,3.9,(4.5k),Consumer Electronics & Appliances,Greater Noida +410 other locations
Dell,3.8,(4.5k),Consumer Electronics & Appliances,Bangalore / Bengaluru +117 other locations
CARS24,3.4,(4.5k),Internet,Gurgaon / Gurugram +173 other locations
Havells,3.9,(4.4k),Electrical Equipment,Noida +260 other locations
Intas Pharmaceuticals,4.1,(4.4k),Pharma,Ahmedabad +148 other locations
R1 RCM,3.8,(4.4k),BPO,New Delhi +46 other locations
Tata AIA Life Insurance,3.9,(4.4k),Insurance,Mumbai +442 other locations
Hyundai Motor India Limited,4.1,(4.4k),Automobile,Chennai +287 other locations
Deutsche Bank,3.8,(4.3k),Banking,Pune +42 other locations
Hetero,3.9,(4.3k),Pharma,Hyderabad / Secunderabad +67 other locations
Motilal Oswal Financial Services,3.7,(4.3k),Financial Services,Mumbai +168 other locations
Team Lease,3.9,(4.3k),Recruitment,Bangalore / Bengaluru +398 other locations
Berger Paints,3.7,(4.3k),Chemicals,Kolkata +354 other locations
VE Commercial Vehicles,3.9,(4.2k),Automobile,Indore +179 other locations
Lenskart,3.3,(4.2k),Internet,New Delhi +240 other locations
Thermax Limited,4.2,(4.2k),Industrial Machinery,Pune +252 other locations
Macleods Pharmaceuticals,3.7,(4.1k),Pharma,Mumbai +134 other locations
Bajaj Auto,3.8,(4.1k),Automobile,Pune +317 other locations
Aakash Educational Services,3.2,(4.1k),Education & Training,New Delhi +244 other locations
Kogta Financial India Limited,4.7,(4.1k),NBFC,Jaipur +259 other locations
Jubilant Foods Works,3.7,(4.1k),Hospitality,New Delhi +261 other locations
LG Electronics,3.9,(4.1k),Consumer Electronics & Appliances,Pune +298 other locations
Royal Enfield,4.2,(4k),Automobile,Chennai +372 other locations
Jindal Steel Limited,3.9,(4k),Iron & Steel,Angul +173 other locations
Hindalco Industries,4.2,(4k),Metals & Mining,Sambalpur +127 other locations
John Deere,4.0,(4k),Industrial Machinery,Pune +155 other locations
Tata Communications,3.9,(4k),Telecom,Pune +102 other locations
HDFC Ergo General Insurance,4.0,(4k),Insurance,Mumbai +324 other locations
DCB Bank,3.8,(4k),Banking,Mumbai +342 other locations
State Street Corporation,3.5,(3.9k),Financial Services,Bangalore / Bengaluru +35 other locations
RBL Bank,3.5,(3.9k),Banking,Mumbai +284 other locations
Cummins,4.3,(3.9k),Industrial Machinery,Pune +114 other locations
Oyo Rooms,3.1,(3.9k),Internet,Gurgaon / Gurugram +121 other locations
Pidilite Industries,4.2,(3.8k),Chemicals,Mumbai +313 other locations
Alembic Pharmaceuticals,3.9,(3.8k),Pharma,Vadodara +187 other locations
Bank of America,4.1,(3.8k),Banking,Gurgaon / Gurugram +35 other locations
Reliance Communications,4.0,(3.8k),Telecom,Mumbai +467 other locations
Carelon Global Solutions,3.9,(3.8k),IT Services & Consulting,Bangalore / Bengaluru +21 other locations
Publicis Sapient,3.4,(3.8k),IT Services & Consulting,Bangalore / Bengaluru +46 other locations
Subros,3.8,(3.8k),Auto Components,Noida +89 other locations
PVR INOX,3.9,(3.8k),Media & Entertainment,New Delhi +150 other locations
Viatris,4.1,(3.8k),Pharma,Hyderabad / Secunderabad +80 other locations
XpressBees,4.2,(3.8k),Logistics,Pune +474 other locations
American Express,4.1,(3.8k),Financial Services,Gurgaon / Gurugram +53 other locations
Automatic Data Processing (ADP),3.9,(3.7k),Software Product,Hyderabad / Secunderabad +40 other locations
PNB MetLife,3.4,(3.7k),Insurance,New Delhi +425 other locations
Escorts Kubota Limited,4.1,(3.7k),Automobile,Faridabad +155 other locations
Kyndryl,3.9,(3.7k),IT Services & Consulting,Bangalore / Bengaluru +37 other locations
Aditya Birla Sun Life Insurance,4.0,(3.7k),Insurance,Mumbai +488 other locations
Aditya Birla Capital,3.8,(3.7k),NBFC,Mumbai +339 other locations
Grasim Industries,4.0,(3.7k),Building Material,Bharuch +241 other locations
Maersk,4.0,(3.7k),Logistics,Chennai +49 other locations
Altruist Technologies,4.4,(3.6k),BPO,Bangalore / Bengaluru +45 other locations
Synechron,3.5,(3.6k),IT Services & Consulting,Pune +32 other locations
Glenmark Pharmaceuticals,3.8,(3.6k),Pharma,Mumbai +184 other locations
Birlasoft,3.5,(3.6k),IT Services & Consulting,Pune +50 other locations
Dabur,3.8,(3.6k),FMCG,New Delhi +320 other locations
Godrej & Boyce Manufacturing,3.9,(3.6k),Consumer Electronics & Appliances,Mumbai +165 other locations
Samvardhana Motherson Group,3.7,(3.6k),Auto Components,Noida +93 other locations
